primary_title,runtime_minutes,genres,production_budget,worldwide_gross,year,ROI
Captain America: The Winter Soldier,136,"Action,Adventure,Sci-Fi",170000000,714401889,2014,320
The SpongeBob Movie: Sponge Out of Water,92,"Adventure,Animation,Comedy",74000000,311013181,2015,320
Bachelorette,87,"Comedy,Romance",3000000,12577401,2012,319
Friends with Benefits,109,"Comedy,Romance",35000000,146595891,2011,319
Valentine's Day,125,"Comedy,Romance",52000000,217569328,2010,318
Dawn of the Planet of the Apes,130,"Action,Adventure,Drama",170000000,710644566,2014,318
San Andreas,114,"Action,Adventure,Drama",110000000,456258539,2015,315
Pitch Perfect 3,93,"Comedy,Music",45000000,185736412,2017,313
No Good Deed,84,"Action,Crime,Drama",13200000,54323210,2014,312
The Town,125,"Crime,Drama,Thriller",37000000,152566881,2010,312
Krampus,98,"Comedy,Fantasy,Horror",15000000,61788393,2015,312
Doctor Strange,115,"Action,Adventure,Fantasy",165000000,676404566,2016,310
The Boss Baby,97,"Adventure,Animation,Comedy",125000000,510878762,2017,309
Diary of a Wimpy Kid: Rodrick Rules,99,"Comedy,Family",18000000,73695194,2011,309
The Nut Job,85,"Adventure,Animation,Comedy",30000000,122529966,2014,308
Vampires Suck,82,Comedy,20000000,81424988,2010,307
The Hobbit: An Unexpected Journey,169,"Adventure,Family,Fantasy",250000000,1017003568,2012,307
The Forest,93,"Horror,Mystery,Thriller",10000000,40749230,2016,307
The Forest,109,"Drama,Fantasy,Horror",10000000,40749230,2016,307
Jackie,100,"Biography,Drama,History",9000000,36588512,2016,307
xXx: Return of Xander Cage,107,"Action,Adventure,Thriller",85000000,345033359,2017,306
The Hunger Games: Mockingjay - Part 2,137,"Action,Adventure,Sci-Fi",160000000,648986787,2015,306
Bridge of Spies,142,"Drama,History,Thriller",40000000,162498338,2015,306
Interstellar,169,"Adventure,Drama,Sci-Fi",165000000,666379375,2014,304
Last Vegas,105,"Comedy,Drama",28000000,112914167,2013,303
Journey 2: The Mysterious Island,94,"Action,Adventure,Comedy",79000000,318146162,2012,303
How to Train Your Dragon: The Hidden World,104,"Action,Adventure,Animation",129000000,519258283,2019,303
Trainwreck,125,"Comedy,Drama,Romance",35000000,141123897,2015,303
Second Act,103,"Comedy,Drama,Romance",15700000,63288854,2018,303
The Foreigner,113,"Action,Thriller",35000000,140783360,2017,302
Captain Phillips,134,"Biography,Drama,Thriller",55000000,220648184,2013,301
The Book Thief,131,"Drama,War",19000000,76086711,2013,300
Ant-Man,117,"Action,Adventure,Comedy",130000000,518858449,2015,299
